city,year,month,temp_mean_c,temp_min_c,temp_max_c,rainy_days,rainy_day_frac
Bacău,2023,1,3.3161290322580643,-10.3,16.9,19,0.6129032258064516
Bacău,2023,2,2.2017857142857142,-13.4,16.4,16,0.5714285714285714
Bacău,2023,3,6.619354838709677,-3.8,23.0,9,0.2903225806451613
Bacău,2023,4,8.713333333333333,-0.4,18.9,22,0.7333333333333333
Bacău,2023,5,15.417741935483871,3.6,26.2,19,0.6129032258064516
Bacău,2023,6,19.978333333333335,8.3,31.9,17,0.5666666666666667
Bacău,2023,7,23.63225806451613,11.7,36.8,18,0.5806451612903226
Bacău,2023,8,24.0258064516129,12.6,36.4,11,0.3548387096774194
Bacău,2023,9,19.88,9.7,30.6,9,0.3
Bacău,2023,10,14.730645161290322,0.6,31.6,7,0.22580645161290322
Bacău,2023,11,7.155,-4.3,19.4,18,0.6
Bacău,2023,12,3.020967741935484,-8.1,15.6,10,0.3225806451612903
Bacău,2024,1,-0.65,-15.4,12.6,15,0.4838709677419355
Bacău,2024,2,7.253448275862069,-5.1,17.6,6,0.20689655172413793
Bacău,2024,3,7.514516129032257,-3.1,26.4,19,0.6129032258064516
Bacău,2024,4,13.976666666666667,3.1,30.1,12,0.4
Bacău,2024,5,15.893548387096773,5.0,28.1,11,0.3548387096774194
Bacău,2024,6,22.665000000000003,13.5,32.7,13,0.43333333333333335
Bacău,2024,7,25.061290322580643,13.5,37.8,13,0.41935483870967744
Bacău,2024,8,24.37258064516129,14.9,34.5,15,0.4838709677419355
Bacău,2024,9,18.858333333333334,8.4,31.3,13,0.43333333333333335
Bacău,2024,10,11.57258064516129,-0.5,24.0,9,0.2903225806451613
Bacău,2024,11,4.256666666666667,-3.9,20.0,10,0.3333333333333333
Bacău,2024,12,2.575806451612903,-3.1,12.7,17,0.5483870967741935
Bacău,2025,1,3.8451612903225807,-8.0,17.7,8,0.25806451612903225
Bacău,2025,2,-1.1160714285714286,-9.2,11.7,6,0.21428571428571427
Bacău,2025,3,8.290322580645162,-4.1,26.8,11,0.3548387096774194
Bacău,2025,4,10.953333333333335,-2.5,25.5,13,0.43333333333333335
Bacău,2025,5,14.001612903225807,2.0,29.6,23,0.7419354838709677
