city,year,quarter,temp_mean_c,temp_min_c,temp_max_c,rainy_days,rainy_day_frac
Bacău,2023,Q1,4.107222222222222,-13.4,23.0,44,0.4888888888888889
Bacău,2023,Q2,14.710989010989012,-0.4,31.9,58,0.6373626373626373
Bacău,2023,Q3,22.541304347826088,9.7,36.8,38,0.41304347826086957
Bacău,2023,Q4,8.314673913043478,-8.1,31.6,35,0.3804347826086957
Bacău,2024,Q1,4.6499999999999995,-15.4,26.4,40,0.43956043956043955
Bacău,2024,Q2,17.493956043956043,3.1,32.7,36,0.3956043956043956
Bacău,2024,Q3,22.80652173913043,8.4,37.8,41,0.44565217391304346
Bacău,2024,Q4,6.155434782608695,-3.9,24.0,36,0.391304347826087
Bacău,2025,Q1,3.832777777777778,-9.2,26.8,25,0.2777777777777778
Bacău,2025,Q2,15.458791208791208,-2.5,32.3,49,0.5384615384615384
Bacău,2025,Q3,21.019021739130434,2.6,35.0,32,0.34782608695652173
Bacău,2025,Q4,9.92,4.2,17.6,12,0.8
Brașov,2023,Q1,2.4255555555555555,-14.8,16.8,55,0.6111111111111112
Brașov,2023,Q2,12.534065934065934,-1.7,27.7,73,0.8021978021978022
Brașov,2023,Q3,20.05217391304348,8.3,33.2,50,0.5434782608695652
Brașov,2023,Q4,6.930434782608696,-5.9,27.3,52,0.5652173913043478
Brașov,2024,Q1,3.5840659340659338,-13.0,25.4,51,0.5604395604395604
Brașov,2024,Q2,15.187362637362638,-1.0,31.7,57,0.6263736263736264
Brașov,2024,Q3,20.122282608695652,5.6,34.7,44,0.4782608695652174
Brașov,2024,Q4,4.8,-10.2,22.9,38,0.41304347826086957
Brașov,2025,Q1,2.251111111111111,-18.3,22.7,36,0.4
Brașov,2025,Q2,13.68901098901099,-3.7,31.9,60,0.6593406593406593
Brașov,2025,Q3,19.152173913043477,2.7,35.1,43,0.4673913043478261
Brașov,2025,Q4,8.12,2.2,13.9,14,0.9333333333333333
București,2023,Q1,5.671666666666667,-8.3,21.5,37,0.4111111111111111
București,2023,Q2,16.2532967032967,0.4,32.6,56,0.6153846153846154
